시도,군구,관광지,총계,2020,2021,2022,2023,2024
대전광역시,동구,대동하늘공원,1534589,981747,192126,183908,176808,
대전광역시,동구,만인산 자연휴양림,1704092,745895,361186,266997,330014,
대전광역시,동구,명상정원,702832,,,343783,359049,
대전광역시,동구,상소오토캠핑장,183973,25646,46624,45137,32025,34541
대전광역시,동구,식장산전망대,523245,128150,100196,158815,136084,
대전광역시,동구,우암사적공원,612222,114793,109586,185333,202510,
대전광역시,동구,찬샘마을,55733,3586,5814,16607,12621,17105
대전광역시,동구,한밭교육박물관,53576,2450,2831,14759,15418,18118
대전광역시,중구,대전 아쿠아월드,562096,63302,102151,122143,142651,131849
대전광역시,중구,대전오월드,3510200,327848,643548,972950,814600,751254
대전광역시,중구,뿌리공원,2141267,342655,453356,769736,575520,
대전광역시,중구,옛충남도청(대전근현대사전시관),688166,140889,152069,142944,144879,107385
대전광역시,서구,남선공원종합체육관,1399856,43692,212353,325529,381708,436574
대전광역시,서구,대전시립미술관,521181,35181,75751,82911,180148,147190
대전광역시,서구,대전예술의전당,564961,25667,77472,144813,164893,152116
대전광역시,서구,장태산자연휴양림,6955933,1189790,1238062,1781264,1300367,1446450
대전광역시,서구,한밭수목원,5890018,1039240,1419603,1676616,1754559,
대전광역시,유성구,계룡산 수통골,5155641,1325781,1238432,1385798,1205630,
대전광역시,유성구,계룡스파텔 대온천탕,1296204,153279,77489,153301,374245,537890
대전광역시,유성구,국립중앙과학관,2769042,184955,198528,629084,835413,921062
대전광역시,유성구,대전 엑스포 아쿠아리움,540220,,,,279738,260482
대전광역시,유성구,대전시민천문대,329010,16941,34933,78109,97859,101168
대전광역시,유성구,대전어린이회관,1599844,58084,114344,385790,521861,519765
대전광역시,유성구,솔로몬 로파크,238399,22804,43259,51238,65735,55363
대전광역시,유성구,유성유스호스텔,0,0,0,0,,
대전광역시,유성구,지질박물관,138057,10376,19135,32432,40965,35149
대전광역시,유성구,화폐박물관,183157,17618,17950,39265,47803,60521
대전광역시,대덕구,계족산 황톳길,1027177,178657,214800,199175,434545,
대전광역시,대덕구,로하스가족공원 캠핑장,160169,36670,41220,37450,31800,13029
울산광역시,중구,약사동제방유적전시관 ,28205,3337,5848,6846,6039,6135
울산광역시,중구,외솔생가 및 기념관,173452,29213,28531,31194,50075,34439
울산광역시,중구,울산 동헌 및 내아,151681,36813,6273,39199,69396,
울산광역시,중구,태화강 십리대숲,1192144,142736,203727,77823,767858,
울산광역시,중구,태화강국가정원(만남의광장입구),4071405,616962,470189,537507,2446747,
울산광역시,중구,태화루,153414,64494,42997,36075,9848,
울산광역시,남구,SK에너지 울산Complex 견학,8230,461,374,1468,3045,2882
울산광역시,남구,고래생태체험관,1296830,113478,188525,343540,335929,315358
울산광역시,남구,"울산대공원 유료시설(장미계곡,나비원, 골프장)",1799108,148801,271371,456869,436200,485867
울산광역시,남구,울산박물관,455235,40215,65215,96285,121284,132236
울산광역시,남구,장생포 고래문화마을,1153055,54879,146710,242627,327040,381799
울산광역시,남구,태화강 동굴피아,531614,19698,28248,131271,166346,186051
울산광역시,동구,대왕암공원,2286599,394528,447577,1008067,436427,
울산광역시,동구,소리체험관,70425,16708,13848,27475,12394,
울산광역시,동구,슬도,654510,91904,152089,198336,212181,
울산광역시,동구,옥류천이야기길,642734,188847,167606,131232,155049,
울산광역시,동구,울산대교 전망대,546819,77657,87366,114477,131261,136058
울산광역시,동구,울산테마식물수목원,94226,12656,22042,18880,18157,22491
울산광역시,동구,현대중공업,34300,1005,0,3141,15526,14628
울산광역시,북구,강동사랑길 2구간,427508,52764,158476,174831,41437,
울산광역시,북구,당사해양낚시공원,76455,27806,18454,9919,7307,12969
울산광역시,북구,편백산림욕장,586605,230764,149087,143286,63468,
울산광역시,울주군,간절곶 공원,270795,50563,65202,79109,75921,
울산광역시,울주군,국제클라이밍센터,56313,6698,10088,12963,11780,14784
울산광역시,울주군,두동면 천전리 각석,75894,11531,15806,21645,26912,
울산광역시,울주군,반구대 암각화,200253,56051,41693,54286,48223,
울산광역시,울주군,발효아카데미관,10249,,,,,10249
울산광역시,울주군,번개맨 우주센터,197315,18652,35512,48046,46084,49021
울산광역시,울주군,석남사,817859,75225,80320,95674,190152,376488
울산광역시,울주군,신불산 폭포 자연휴양림,516679,77048,76614,125855,112498,124664
울산광역시,울주군,영남알프스 1(배내고개 등산로),179944,28527,46033,44432,60952,
울산광역시,울주군,영남알프스 2(배내골 사슴목장 등산로),431457,160839,141401,71555,57662,
울산광역시,울주군,영남알프스 3(석남사 주차장(상단) 등산로),135052,23927,40198,32996,37931,
울산광역시,울주군,영남알프스 4(복합웰컴센터 등산로(간월산장)),386281,71078,103554,95401,116248,
울산광역시,울주군,영남알프스레져(동굴나라),2062410,228730,291503,460389,490288,591500
울산광역시,울주군,옹기박물관,182602,19712,26351,43036,40644,52859
울산광역시,울주군,옹기아카데미관,16132,,,,,16132
울산광역시,울주군,울산대곡박물관,145550,17141,25409,25355,30398,47247
울산광역시,울주군,울산암각화박물관,335449,33452,34655,92535,93633,81174
울산광역시,울주군,울산해양박물관,18471,3506,2816,3434,4081,4634
울산광역시,울주군,울주민속박물관,36618,,,,,36618
울산광역시,울주군,충렬공박제상기념관,111776,11230,17336,31280,32570,19360
세종특별자치시,세종특별자치시,교과서박물관,43885,,990,5785,16244,20866
세종특별자치시,세종특별자치시,국립세종수목원,3101351,,460113,797964,871461,971813
세종특별자치시,세종특별자치시,대통령기록관,325764,,33067,61318,80237,151142
세종특별자치시,세종특별자치시,베어트리파크,965687,140339,189425,191353,199453,245117
세종특별자치시,세종특별자치시,산림박물관,1075407,161351,170300,243540,261648,238568
세종특별자치시,세종특별자치시,세종 합강캠핑장,419897,104356,76297,131392,100740,7112
세종특별자치시,세종특별자치시,세종시립민속박물관,31679,,4758,8635,9314,8972
세종특별자치시,세종특별자치시,세종에머슨CC,839937,150604,170728,175288,174895,168422
세종특별자치시,세종특별자치시,세종청사 옥상정원,57085,,3506,15088,19313,19178
세종특별자치시,세종특별자치시,아람달 농촌체험휴양마을,21666,,2600,7152,6511,5403
세종특별자치시,세종특별자치시,영평사템플스테이,9881,1051,1356,1712,2830,2932
세종특별자치시,세종특별자치시,전월산 국민여가캠핑장,41572,,6640,11548,8812,14572
세종특별자치시,세종특별자치시,청솔 농촌체험휴양마을,4525,,663,1308,2308,246
세종특별자치시,세종특별자치시,향이랑청이랑 농촌체험휴양마을,6997,,668,1959,2326,2044
인천광역시,중구,소무의도 스토리움,574138,101945,0,426117,20165,25911
인천광역시,중구,송월동화마을 트릭아트스토리,82856,1994,16509,23735,20018,20600
인천광역시,중구,씨사이드파크 레일바이크,613090,85554,105603,108620,132717,180596
인천광역시,중구,연안부두 유람선,224537,31427,15019,45182,61870,71039
인천광역시,중구,영종역사관,224225,10823,30443,91003,44721,47235
인천광역시,중구,월미도 유람선,464310,33832,78594,185772,76259,89853
인천광역시,중구,월미바다열차,898244,51067,57150,262567,263383,264077
인천광역시,중구,인천개항장 근대건축전시관,174917,7542,18636,23545,50345,74849
인천광역시,중구,인천대교기념관,81634,9542,6669,18387,22550,24486
인천광역시,중구,인천학생과학관,356028,12024,13012,73254,127032,130706
인천광역시,중구,중구생활사전시관,272747,9758,22581,83095,67106,90207
인천광역시,중구,짜장면박물관,532640,33169,46497,96640,157380,198954
인천광역시,중구,한국이민사박물관,234987,14546,24360,54200,60488,81393
인천광역시,동구,수도국산달동네박물관,170012,17709,25549,61736,65018,0
인천광역시,동구,실감콘텐츠체험관 탐,17097,2156,705,7227,7009,0
인천광역시,동구,작은미술관,55633,685,30008,11246,8978,4716
인천광역시,미추홀구,송암 미술관,62528,2554,9250,9962,14401,26361
인천광역시,연수구,가스과학관,143354,13823,31233,40065,30891,27342
인천광역시,연수구,가천박물관,36868,1923,2090,8573,14153,10129
인천광역시,연수구,인천도시역사관,498114,15838,27639,106017,157445,191175
인천광역시,연수구,인천상륙작전기념관,317517,27503,26423,59695,109144,94752
인천광역시,남동구, 소래철교,2188375,701425,640992,393526,452432,
인천광역시,남동구,소래습지생태공원전시관,425752,137279,140244,76335,29871,42023
인천광역시,남동구,소래역사관,120399,8694,16956,28742,37383,28624
인천광역시,남동구,애보 박물관,77479,5184,26944,34729,6571,4051
인천광역시,부평구,기후변화체험관,161083,11890,14749,29216,46618,58610
인천광역시,부평구,부평아트센터,205100,4373,25536,44146,52798,78247
인천광역시,부평구,부평역사박물관,157835,9019,11522,30372,50925,55997
인천광역시,부평구,안전체험관,85888,4335,3114,24325,32929,21185
인천광역시,부평구,인천나비공원,429170,92554,87705,120818,128093,
인천광역시,계양구,인천어린이과학관,947274,88161,73965,232743,271697,280708
인천광역시,서구,검단 선사박물관,124300,6358,9161,19899,26641,62241
인천광역시,서구,녹청자박물관,125364,3026,12571,32047,34718,43002
인천광역시,서구,세어도,902,389,0,0,0,513
인천광역시,강화군,강화 농경문화관,14235,4051,588,2521,3124,3951
인천광역시,강화군,강화갯벌센터,6766,274,398,2143,2756,1195
