place,text,total_reviews,2024_visitors
웅도,작은 섬 진짜볼거없네요. 유튜버들의 힘. 체험좋아 하시는분들이면 몰라도!,20,17
웅도,웅도를 처음 들어왔는데 너무 좋구 사장님도 너무 친절하게 잘해주셔서 잘먹고 즐거운 시간보내구 가네요 감사 합니다 다음에 또 놀러오겠습니다^^,20,17
웅도,잠시 바람맞으며 드라이브 하기 좋아요.,20,17
웅도,일몰 보고 왔어요 한적하니 너무 좋아요✨,20,17
웅도,웅도다리가 없어져 시간구애없이 들어갈수 있어 좋아요. 산책로가 잘 되어있고 트레킹하기 좋아요,20,17
웅도,꺄아아아아악!!!!웅도 너무 아름답고 서정적이고 조용하고 걷기에 너무나 아름다운 곳 가족여행중 행복을 더해 주었다 서산여행 좋다고 신났다 서해도 깨끗한 바다색에 우릴 계속 동행해준 치즈고양이때문에 더 즐거운 시간이었다 고양이랑 첨으로 친해진시간 잠수교는 공사중이어서 임시다리생겄어요,20,17
웅도,산책하기 좋아요,20,17
웅도,사람이 많치 않아서 아이들과 놀아주기도좋고 조용히 쉴수도 있는곳이에요~,20,17
웅도,"웅도 갯벌. 잠수교인 유두교 때문에 방문했는데, 요건 물때 잘 보고 가야됩니다ㅠ 전 실패ㅠ 대신 웅도 많이 돌아보고 왔네요~! 서해도 매력이 있네요^^",20,17
웅도,아! 섬으로만 알고 갔는데.. 사진작가들의 보물같은 '웅도가는 잠수도로' 였다. 나도 그 사이에 끼여 사진을 여러장 찍었다. 너무 마음에 드는.. 아름다운 곳~~ ^^😀,20,17
웅도,바지락잡기 좋아요,20,17
웅도,웅도 섬 전체가 친절하셨어요 두명이서 바지락 체험했는데 호미 장화 장갑 대여가능했고 둘뿐이었지만 설명도 친절하게해주시고 박하지 잡는 방법도 알려주셨어요! 바지락체험은 1인당 1키로 제한있습니다 (제공되는 양파망에 담을 수 있는 만큼),20,17
웅도,굿,20,17
웅도,조용하고 좋아요,20,17
웅도,👍,20,17
웅도,좋아요,20,17
웅도,좋음,20,17
대강오토캠핑장,ㅁ,34,554
대강오토캠핑장,굿,34,554
대강오토캠핑장,"급히 하루 자려고 들렸어요.깨끗하고친절하셔요.다만,단점이라면 개수대가 낮아서 설거지 할때 물이 많이 튀어서 물조절 잘하셔야해요.고속도로 옆이여서 차소리가 크게 들려요",34,554
대강오토캠핑장,관리가 잘 되어 있어요,34,554
대강오토캠핑장,좋아요,34,554
대강오토캠핑장,파쇄석 사이트가 넓어서 차 2대도 들어갔어요. 단풍캠 최고!,34,554
대강오토캠핑장,ㄱ,34,554
대강오토캠핑장,최고예요,34,554
대강오토캠핑장,굿굿굿,34,554
대강오토캠핑장,좋아요,34,554
대강오토캠핑장,굿,34,554
대강오토캠핑장,초보 캠핑 최고에 장소,34,554
대강오토캠핑장,굿,34,554
대강오토캠핑장,좋아요,34,554
대강오토캠핑장,좋아요,34,554
대강오토캠핑장,깨끗하고 그늘 많아요 차소리가 조금 시끄러움,34,554
대강오토캠핑장,주중이라 좋네요 근처 사인암도 볼만해요,34,554
대강오토캠핑장,.,34,554
영광군 영광승마장,추천합니다 아이가 몇일전부터 설레였는데 너무 좋았다고 해요 지금도 여운이 많이 남아있어요 ~ 모든분들 친절하시고 말타는곳은 시원해요 ! 꼭한번 들려보세요~,29,769
영광군 영광승마장,말 구경하기도 좋고 애들이 체험할때 말도 계속 걸어주시고 승마 연습도 체험하는동은 볼 수 있었는데 정말 멋있었어요! 애들이 또 가고 싶다네요 자주자주 갈게요😆,29,769
영광군 영광승마장,최근에 체험도 되는줄 알고 재미삼아 한번 갔는데~ 아들이 주말 이틀동안 가자고 해요😅😅 집도 가깝고 아들이 좋아해서 가긴 가는데~ 10분이 좀 아쉽긴 해요ㅋㅋ아들도 더 타고 싶다고ㅎㅎ 빨리 8세가 되길🙏🙏ㅋㅋ,29,769
영광군 영광승마장,마장이 관리가 잘 되어있어서 말 구경하기도 좋아요. 직원분들도 친절하십니다! 가까우면 매주 가고 싶어요ㅎㅎ 만족합니다!,29,769
영광군 영광승마장,"진짜 넘 좋네요 광주에서 급왔는데 럭키였어요♡ 모두가 너~~~~~~무 친절하시고, 아이가 진짜좋아했어요 가는내내 말하네요♡ 제주도는 저리가랍니당.. 말도많고 넘 좋았어요, 꼭 다시재방문하고싶습니다♡ 번창하세요, 고마워 왕밤빵말아 ❤️",29,769
영광군 영광승마장,친절하고 안전하게 이끌어주시고 덕분에 아이들이 너무 재밌게 잘 탔습니다,29,769
영광군 영광승마장,말도 좋고 코치님도 친절하고 시설도 좋아요. 기승시간이 30분이라서 아쉬워요.,29,769
영광군 영광승마장,"작년에 이어 두번째 방문이에요 여전히 깔끔하고 친절하네요 마방도 깨끗하고 냄새도 안 나고 말들은 털이 윤기가 흐르고 관리 잘된게 한눈에 봐도 느껴집니다 5살 6살 아이 두명 살뜰하게 챙겨가면서 무섭진 않을까 계속 말 걸어주고 편하게 대해주셔서 아이들이 너무 행복해했어요 또 말 타러 가고 싶다고 얘기하네요 체험 도와주신 여자 직원분 두분 (키 작으신 분, 커트머리 하신 분) 작년에 이어 너무 감사했구요 오래오래 근무하셔서 갈때마다 뵐수있길 바래요~^^",29,769
영광군 영광승마장,친절하세요 ㅎㅎ,29,769
영광군 영광승마장,7세(만5세)아이가 말 타고싶다고 해서 승마장 예약해서 갔어요~ 체험승마 10분 시간이 넘짧게 느껴졌어용,29,769
영광군 영광승마장,깨끗한 승마장과 시설물 그리고 친절한 교육을 해주신 교관님들 너무 좋았어요 세자매와 함께한 맞춤형 교육에 딸들이 다음에도 또 가자고 하네요 다시 방문하겠습니다,29,769
영광군 영광승마장,친절하고 흥미 유도를 잘 해주세요~ 냄새도 안나고 깨끗해요^^,29,769
영광군 영광승마장,친절하게 알려주셔서 감사했습니다 👍🐎 감사합니다-시원-,29,769
영광군 영광승마장,되게 친절하게 해주시고 말도 되게 관리가 잘 되어있었어요 덕분에 말의 매력을 알게됐네요,29,769
영광군 영광승마장,군에서 직접 관리해서 인지 시설도 깨끗하고 직원 분들도 친절해서 넘 좋았어요~~ 7살 아들이랑 함께 갔는데 선생님들이 친절하게 대해줘서 아이가 편안하게 체험한 것 같습니다..^^ 또 방문 계획입니다~~,29,769
영광군 영광승마장,체험시간이 10분이라 짧지만 정말 알차서 체감시간은 1시간 같아요^^ 선생님들도 너무너무 친절하시고 아이들이 타는 동안 어색하지 않게 조근조근 소소한 질문도 해주시고 말에 대해 설명도 해주시고 무서워하는 아이에겐 용기낼 수 있게 격려도 해주시는 모습이 감동이였어요 아이들이 너무 좋아해서 지난주 이번주 2번이나 다녀왔는데 오늘도 가고 싶다는걸 사정이 있어 못갔네요ㅜㅜ 집만 가까우면 아이들 강습도 해주고 싶은데 너무 멀어 아쉬워했더니 저희집 근처에 강습받을 수 있는 곳 정보도 주시고 너무 감사합니다~~^^,29,769
영광군 영광승마장,기회가 되면 다시 체험해보고 싶어요!,29,769
영광군 영광승마장,영광군민을 위해 쾌적하고 즐거운 승마체험이였습니다.,29,769
영광군 영광승마장,아이가 너무 좋아했어요 말도 순하고 관리도 잘되어있고 강사분들도 친절하고 재방문의사 있어요,29,769
영광군 영광승마장,"시골 할머니댁 방문하면서 아이와 보낼곳을 검색하다 알게 되었습니다. 10분체험 7천원의 가격도 훌륭하고 도와주시는 선생님 모두 친절하시고 말도 좋은 상태였어요. 아이가 동물을 무서워하고 겁이 많아서 걱정이 많았는데 오동이,록키 체험하면서 자신감이 많이 생겼어요. 집근처라면 정기권 끊어서 다니고 싶어요. 진짜 다녀본 승마장중에서 최고네요.",29,769
다례원,중요한 행사인데 준비가 좀 미흡하네요,12,808
다례원,가성비를 따질건 아닌 건 같고 정성은 확실합니다,12,808
다례원,친절해요,12,808
