관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
두물머리 관광안내소,두물머리,경기도,양평군,두물머리 주변 관광안내 및 양평군 종합관광안내,소규모 체험운영,연중무휴(명절당일만 휴무),09:00,18:00,09:00,18:00,0,Y,Y,N,,031-775-8700,경기도 양평군 양서면 두물머리길 119,경기도 양평군 양서면 양수리 776-1번지,와이피커뮤니케이션,tour.yp21.net,37.5338384,127.3163147,2023-05-24,4170000,경기도 양평군
대관령관광안내소,대관령 IC 부근,강원특별자치도,평창군,"주변 관광지, 관내 숙박업소, 교통정보를 제공합니다.",인터넷 정보검색+복사+프린터+홍보물게시,설 연휴+추석 연휴+근로자의날,09:00,18:00,09:00,18:00,2,Y,N,N,,033-330-2799,강원특별자치도 평창군 대관령면 올림픽로 6-5,강원특별자치도 평창군 대관령면 횡계리 592-8,강원특별자치도 평창군,http://tour.pc.go.kr/,37.6784275,128.699617,2024-09-26,4281000,강원특별자치도 평창군
남미륵사안내소,남미륵사 주차장 입구,전라남도,강진군,,,설날연휴+추석연휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-430-3312,전라남도 강진군 군동면 풍동길 84-3 주차장,전라남도 강진군 군동면 풍동리 672,전라남도 강진군청,https://www.gangjin.go.kr/culture,34.65073336,126.8553004,2024-11-29,4920000,전라남도 강진군
가우도(망호)안내소,가우도 다산다리 입구,전라남도,강진군,,,설날연휴+추석연휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-430-3312,,전라남도 강진군 도암면 신기리 123-17,전라남도 강진군청,https://www.gangjin.go.kr/culture,34.52877021,126.772317,2024-11-29,4920000,전라남도 강진군
백운동원림안내소,백운동원림 안,전라남도,강진군,,,설날연휴+추석연휴,10:00,17:00,10:00,17:00,1,N,N,N,,061-430-3312,,전라남도 강진군 성전면 월하리 546,전라남도 강진군청,https://www.gangjin.go.kr/culture,34.74205108,126.6998797,2024-11-29,4920000,전라남도 강진군
일두홍보관,일두고택 옆,경상남도,함양군,지곡개평마을 방문객 관광안내,,설 당일+추석 당일,10:00,17:00,10:00,17:00,2,N,N,N,,055-964-5800,경상남도 함양군 지곡면 병곡지곡로 910,경상남도 함양군 지곡면 개평리 262-14,경상남도 함양군청,https://www.hygn.go.kr/01640/01641.web,35.56648298,127.7685759,2025-06-26,5460000,경상남도 함양군
상림관광안내소,상림공원 입구 주차장 내,경상남도,함양군,상림공원 방문객 투어 및 관광안내,휠체어+유모차 대여+휴대폰 충전기,설 당일+추석 당일,10:00,17:00,10:00,17:00,2,N,N,N,,055-960-5756,경상남도 함양군 함양읍 필봉산길 49,경상남도 함양군 함양읍 교산리 1069-4,경상남도 함양군청,https://www.hygn.go.kr/01640/01641.web,35.52372669,127.721893,2025-06-26,5460000,경상남도 함양군
용추관광안내소,용추계곡 주차장 입구,경상남도,함양군,용추계곡 주변 방문객 관광안내,,7월~9월 한시 운영,10:00,17:00,10:00,17:00,1,N,N,N,,055-964-0711,경상남도 함양군 안의면 용추계곡로 316,경상남도 함양군 안의면 하원리 1361-1,경상남도 함양군청,https://www.hygn.go.kr/01640/01641.web,35.66807406,127.7880194,2025-06-26,5460000,경상남도 함양군
의정부종합관광안내소,의정부역 동부광장,경기도,의정부시,의정부시 관광안내 및 정보 제공,,매주 월요일+1월1일+설 연휴+추석 연휴,10:00,17:00,10:00,17:00,1,N,N,N,,031-848-3513,경기도 의정부시 평화로 527 (의정부동),경기도 의정부시 의정부동 222-35,경기도 의정부시청,,37.73909225,127.0473392,2025-06-25,3820000,경기도 의정부시
저동관광안내소,울릉 저동항,경상북도,울릉군,,,연중무휴,09:00,18:00,09:00,18:00,2, , , ,,054-791-6629,,경상북도 울릉군 울릉읍 저동리 48-7,경상북도 울릉군청,www.ulleung.go.kr,37.49624379,130.9097508,2023-06-13,5260000,경상북도 울릉군
도동관광안내소,울릉 도동소공원,경상북도,울릉군,,짐보관,연중무휴,09:00,18:00,09:00,18:00,2, , , ,,054-790-6454,,경상북도 울릉군 울릉읍 도동리 89,경상북도 울릉군청,www.ulleung.go.kr,37.48206858,130.9080012,2023-06-13,5260000,경상북도 울릉군
사동관광안내소,울릉 사동 유통타운 1층,경상북도,울릉군,,짐보관,연중무휴,09:00,18:00,09:00,18:00,2, , , ,,054-791-9163,,경상북도 울릉군 울릉읍 사동리 946,경상북도 울릉군청,www.ulleung.go.kr,37.4626160813,130.8770719963,2023-06-13,5260000,경상북도 울릉군
장흥 관광안내소,장흥관광지 내 민복진미술관 옆,경기도,양주시,권율장군묘해설+장흥관광지의주요관광시설안내+양주시주요관광지소개,,월+설 연휴+추석 연휴,10:00,17:00,10:00,16:00,1,Y,Y,N,,031-856-9570,경기도 양주시 장흥면 권율로 194,경기도 양주시 장흥면 석현리 394-14,경기도 양주시청,https://www.yangju.go.kr/tour/index.do,37.73106283,126.949619,2024-03-06,5590000,경기도 양주시
양주시 종합관광안내센터,양주관아지 옆,경기도,양주시,관아지+양주향교해설+양주시주요관광지+주변등산로안내,,설 연휴+추석 연휴,10:00,17:00,10:00,16:00,1,Y,Y,N,,031-845-3134,경기도 양주시 부흥로1399번길 11,경기도 양주시 유양동 195,경기도 양주시청,https://www.yangju.go.kr/tour/index.do,37.78464113,127.0304693,2024-03-06,5590000,경기도 양주시
회암사지 관광안내소,회암사지 앞,경기도,양주시,회암사지해설+등산로안내+양주시주요관광지소개,,월+설 연휴+추석 연휴,10:00,17:00,10:00,16:00,1,Y,Y,N,,031-865-4080,경기도 양주시 회암사길 96,경기도 양주시 회암동 21,경기도 양주시청,https://www.yangju.go.kr/tour/index.do,37.8440038,127.1060315,2024-03-06,5590000,경기도 양주시
조소앙기념관 관광안내소,조소앙기념관 입구,경기도,양주시,조소앙기념관해설+주변관광자원소개+양주시주요관광지소개,,월+설 연휴+추석 연휴,10:00,17:00,10:00,16:00,1,Y,Y,N,,031-859-2288,경기도 양주시 남면 양연로173번길 87,경기도 양주시 남면 황방리 214-7,경기도 양주시청,https://www.yangju.go.kr/tour/index.do,37.92167975,126.9946864,2024-03-06,5590000,경기도 양주시
온릉 해설사실,온릉 입구,경기도,양주시,온릉해설+주변관광자원소개+양주시주요관광지소개,,월+설 연휴+추석 연휴,10:00,17:00,10:00,16:00,1,Y,Y,N,,031-855-5228,경기도 양주시 장흥면 호국로 255-41,경기도 양주시 장흥면 일영리 산19,조선왕릉서부지구관리소,https://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_12_01.jsp&mn=RT_01_12,37.71992522,126.9505195,2024-03-06,5590000,경기도 양주시
